N,threads,tiempo_mediana_us,tiempo_mediana_s,speedup,eficiencia
1000000,1,4176.0,0.004176,1.0,1.0
1000000,2,1684.0,0.001684,2.4798099762470307,1.2399049881235154
1000000,4,842.5,0.0008425,4.956676557863502,1.2391691394658755
1000000,8,571.0,0.000571,7.313485113835377,0.9141856392294221
1000000,16,708.5,0.0007085,5.894142554693014,0.36838390966831336
1000000,32,1091.0,0.001091,3.8276810265811183,0.11961503208065995
10000000,1,23116.5,0.0231165,1.0,1.0
10000000,2,12605.0,0.012605,1.8339151130503768,0.9169575565251884
10000000,4,6512.0,0.006512,3.549831081081081,0.8874577702702703
10000000,8,3709.0,0.003709,6.232542464276086,0.7790678080345107
10000000,16,3284.5,0.0032845,7.038057543005023,0.43987859643781396
10000000,32,3479.5,0.0034795,6.64362695789625,0.2076133424342578
100000000,1,231433.5,0.2314335,1.0,1.0
100000000,2,121336.5,0.1213365,1.9073691758044777,0.9536845879022389
100000000,4,61398.5,0.0613985,3.7693673298207613,0.9423418324551903
100000000,8,31673.5,0.0316735,7.306849574565488,0.913356196820686
100000000,16,21625.0,0.021625,10.702127167630058,0.6688829479768786
100000000,32,21783.5,0.0217835,10.624256891684073,0.3320080278651273
