N,procesos,nodos,T1_ms,Tp_ms,speedup,eficiencia
1024,1,1,0.537255,0.479548,1.1203362332863447,1.1203362332863447
1024,2,2,0.537255,0.244744,2.1951712810119965,1.0975856405059983
1024,4,4,0.537255,0.131861,4.074404107355473,1.0186010268388683
1024,8,4,0.537255,0.092604,5.801639238045873,0.7252049047557341
1024,10,4,0.537255,0.124215,4.325202270257216,0.43252022702572157
2048,1,1,1.665558,1.899636,0.8767774457843502,0.8767774457843502
2048,2,2,1.665558,0.99508,1.6737930618643728,0.8368965309321864
2048,4,4,1.665558,0.506756,3.2867060281476688,0.8216765070369172
2048,8,4,1.665558,0.417077,3.993406493285413,0.49917581166067665
2048,10,4,1.665558,0.440283,3.7829259816981353,0.37829259816981353
4096,1,1,7.78768,8.44079,0.9226245410678384,0.9226245410678384
4096,2,2,7.78768,4.504782,1.728758461563734,0.864379230781867
4096,4,4,7.78768,2.541969,3.0636408233145254,0.7659102058286313
4096,8,4,7.78768,1.817799,4.284126022734087,0.5355157528417609
4096,10,4,7.78768,1.888324,4.124122767067516,0.4124122767067516
