N,procesos,nodos,T1_ms,Tp_ms,speedup,eficiencia
1000,1,1,0.322829,0.377281,0.8556725623606808,0.8556725623606808
1000,2,2,0.322829,0.344766,0.9363713359205953,0.46818566796029765
1000,4,4,0.322829,0.766172,0.4213531687401784,0.1053382921850446
1000,8,4,0.322829,2.077802,0.1553704347189963,0.01942130433987454
1000,10,4,0.322829,3.364009,0.09596555776158744,0.009596555776158745
5000,1,1,7.95057,8.478806,0.9376992468043259,0.9376992468043259
5000,2,2,7.95057,2.967425,2.679282542945483,1.3396412714727415
5000,4,4,7.95057,1.40812,5.646230434906116,1.411557608726529
5000,8,4,7.95057,3.107902,2.5581791189040066,0.3197723898630008
5000,10,4,7.95057,3.672768,2.164735153431962,0.2164735153431962
10000,1,1,31.81294,33.548205,0.9482754740529337,0.9482754740529337
10000,2,2,31.81294,9.313263,3.415874758395635,1.7079373791978174
10000,4,4,31.81294,3.323816,9.571209717986797,2.392802429496699
10000,8,4,31.81294,3.673398,8.66035752183673,1.0825446902295912
10000,10,4,31.81294,4.026411,7.901066234917399,0.7901066234917399
