algoritmo , N   , procesos, nodos, tiempo_ms
secuencial, 1024,        1,     1, .537255
mpi       , 1024,        1,     1, .479548
mpi       , 1024,        2,     2, .244744
mpi       , 1024,        4,     4, .131861
mpi       , 1024,        8,     4, .092604
mpi       , 1024,       10,     4, .124215
secuencial, 2048,        1,     1, 1.665558
mpi       , 2048,        1,     1, 1.899636
mpi       , 2048,        2,     2, .995080
mpi       , 2048,        4,     4, .506756
mpi       , 2048,        8,     4, .417077
mpi       , 2048,       10,     4, .440283
secuencial, 4096,        1,     1, 7.787680
mpi       , 4096,        1,     1, 8.440790
mpi       , 4096,        2,     2, 4.504782
mpi       , 4096,        4,     4, 2.541969
mpi       , 4096,        8,     4, 1.817799
mpi       , 4096,       10,     4, 1.888324
mpi , 4096, 12, 4, 1.759439
mpi , 4096, 14, 4, 1.935810
mpi , 4096, 16, 4, 1.973108
