algoritmo , N    , procesos, nodos, tiempo_ms
secuencial,  1000,        1,     1, .322829
mpi       ,  1000,        1,     1, .377281
mpi       ,  1000,        2,     2, .344766
mpi       ,  1000,        4,     4, .766172
mpi       ,  1000,        8,     4, 2.077802
mpi       ,  1000,       10,     4, 3.364009
secuencial,  5000,        1,     1, 7.950570
mpi       ,  5000,        1,     1, 8.478806
mpi       ,  5000,        2,     2, 2.967425
mpi       ,  5000,        4,     4, 1.408120
mpi       ,  5000,        8,     4, 3.107902
mpi       ,  5000,       10,     4, 3.672768
secuencial, 10000,        1,     1, 31.812940
mpi       , 10000,        1,     1, 33.548205
mpi       , 10000,        2,     2, 9.313263
mpi       , 10000,        4,     4, 3.323816
mpi       , 10000,        8,     4, 3.673398
mpi       , 10000,       10,     4, 4.026411
